epoch,train_loss,train_accuracy
0,3.211148522648157,0.050088210477870675
1,3.1223462633058134,0.07670476336580502
2,2.6216540418419183,0.19705453708675308
3,1.9307722905102898,0.3591317020786991
4,1.5510051858191396,0.46245301833243846
5,1.3657228692489511,0.5169901050855258
6,1.2285424032632042,0.5553424867684283
7,1.1538122807647668,0.5759760681138298
8,1.0854071980597926,0.5961494208790366
9,0.9996145233219745,0.6233029071105316
10,0.95110882731045,0.6391040883638874
11,0.8918405803395253,0.6547518600905117
12,0.8215663114599153,0.6801411367645931
13,0.8314584753676957,0.6799110224744956
14,0.807734454525452,0.6825956891922988
15,0.7668871270383105,0.6986269847357521
16,0.7472074047899714,0.7020019943238475
17,0.7500064934001249,0.7059906420188694
18,0.7068307128022698,0.7185702232108614
19,0.6618215782093066,0.7363657283117282
20,0.6381961397972762,0.7478714428165989
21,0.6364141948082868,0.7467208713661119
22,0.6546364951075292,0.7395106236097262
23,0.6082995485733537,0.7523203190918156
24,0.5986837069777882,0.7561555572601059
25,0.6129117174183621,0.7537777095957658
26,0.5921671839029181,0.7576896525274219
27,0.5868024206628987,0.7596839763749329
28,0.5498552261760422,0.7697323003758534
29,0.6000441445731649,0.7577663572907878
