epoch,train_loss,train_accuracy
0,3.122090944472481,0.16304931359766853
1,1.329518498451102,0.5602423498734566
2,0.9033527643072838,0.6770457857197638
3,0.7217652182660851,0.7393971930362758
4,0.6133946874270252,0.7722217961500115
5,0.5521619296541401,0.7871769307462229
6,0.5035236068800384,0.80259222333001
7,0.45899005906254636,0.8210752358309686
8,0.43548447543791696,0.831275404555564
9,0.3809738967056368,0.8468440831352098
10,0.3834434795905562,0.847457627118644
11,0.35758058777919005,0.8574277168494516
12,0.3365832532883859,0.8638699286755119
13,0.3131772098953233,0.8749137203773295
14,0.32403070238583226,0.8721527724518752
15,0.3012759375440724,0.8828130991640464
16,0.29642510713607656,0.8823529411764706
17,0.2831289869751416,0.8889485389983894
18,0.27521265743702067,0.8943170488534397
19,0.26848906837403774,0.8971546897768233
20,0.2500908937232167,0.9038269805966715
21,0.2406835935133345,0.906051077536621
22,0.23399787750460355,0.9085819464682875
23,0.23287230510922038,0.9098857274330854
24,0.22788327446609152,0.9099624204310146
25,0.21612252766156897,0.9148707722984891
26,0.2089857399171474,0.9193189661783879
27,0.20789036943632014,0.9202392821535393
28,0.20782135005163796,0.9206227471431858
29,0.20096176579667657,0.9190888871846
