epoch,train_loss,train_accuracy
0,3.3532700723505275,0.1337579617834395
1,1.5569963187457405,0.4783774723432786
2,1.1251527896539413,0.5914347971840429
3,0.9931571642982768,0.6263828360710694
4,0.9059109659118448,0.655045256453235
5,0.8881959692042142,0.6514415018437815
6,0.8335827107735496,0.6731478377472343
7,0.8028798976684,0.6864733489775394
8,0.7975233455392766,0.6868923902111967
9,0.7631322950284112,0.6930942004693261
10,0.7604203625796313,0.6989607777405297
11,0.7531878521098173,0.7023969158565203
12,0.74746574772233,0.703402614817298
13,0.7073456882474257,0.7155548105933623
14,0.717539736771966,0.7113643982567884
15,0.7087086778592299,0.7140462621521958
16,0.697794705469978,0.7189071404626215
17,0.6773664382371035,0.7262822661749916
18,0.6846761397499451,0.7272879651357693
19,0.6773719028993086,0.7321488434461951
20,0.6663596964774923,0.7367582970164264
21,0.6596161136652696,0.7355011733154543
22,0.6567991469951875,0.7358364063023801
23,0.6562115417763511,0.7376801877304727
24,0.6566617197212689,0.7353335568219913
25,0.6521509877819428,0.7442172309755279
26,0.6435235738754272,0.7459772041568891
27,0.6358079307857044,0.7467314783774723
28,0.6306977036165043,0.7511733154542407
29,0.6161424700907845,0.7533523298692592
