epoch,train_loss,train_accuracy
0,2.6328532443964545,0.27631578947368424
1,0.9268962020542533,0.6831210191082803
2,0.6696491749847636,0.7597217566208515
3,0.5448679246685721,0.7965135769359705
4,0.5111346981901536,0.802212537713711
5,0.4497474009659201,0.8306235333556822
6,0.4160825665143722,0.8389205497820985
7,0.4010722547928917,0.8453737847804224
8,0.3746384302164144,0.8514079785450889
9,0.3594829773998515,0.8593697619845793
10,0.35581992375340693,0.8592859537378478
11,0.330595269241435,0.8681696278913845
12,0.33091039007360284,0.8697619845792826
13,0.3141152131206849,0.8746228628897084
14,0.31188486675846383,0.8768856855514583
15,0.3125968440809352,0.8761314113308749
16,0.30714843406237385,0.8742038216560509
17,0.2871549463766144,0.8850988937311431
18,0.28836373044526514,0.8841770030170969
19,0.27303645018747147,0.8883674153536708
20,0.2831002385380434,0.8873617163928931
21,0.2667904077844824,0.8929768689239022
22,0.2552851748896793,0.8962453905464298
23,0.25808684942237836,0.897334897753939
24,0.2515079969550199,0.8991786791820315
25,0.2497626885692066,0.8995139121689574
26,0.24018027493979205,0.9063861884009387
27,0.23266960031049136,0.9088166275561516
28,0.22985869002613155,0.9102413677505866
29,0.23103282783917564,0.9065538048944016
