epoch,train_loss,train_accuracy
0,2.4942402909783756,0.31533742331288345
1,0.9005208469781221,0.6740030674846625
2,0.7178350656348116,0.7286042944785276
3,0.6083535075772042,0.7605061349693252
4,0.5508022739314565,0.7803680981595092
5,0.5112930071704528,0.7914110429447853
6,0.4867657593214044,0.8050613496932515
7,0.45693160323243515,0.818941717791411
8,0.43283433766633855,0.8249233128834356
9,0.43213215331528704,0.8306748466257668
10,0.3924098205478752,0.8442484662576687
11,0.3952266104957637,0.8434815950920246
12,0.384718651791998,0.8461656441717792
13,0.3698190864832962,0.8568251533742332
14,0.3581816594974667,0.8588957055214724
15,0.3655872912529637,0.8546779141104295
16,0.35013972270284216,0.8618865030674847
17,0.3351692136596231,0.8720858895705521
18,0.33892903396604107,0.8664110429447853
19,0.3196383802695017,0.8752300613496933
20,0.3144267592213902,0.8781441717791411
21,0.3225224306989534,0.8756134969325153
22,0.3249083313287473,0.8745398773006134
23,0.30874682177661683,0.8822085889570552
24,0.3090529419920024,0.8787576687116564
25,0.29185436545487714,0.8881134969325153
26,0.2919360909647509,0.8904141104294478
27,0.281452769377068,0.8915644171779141
28,0.27953616314220664,0.8956288343558282
29,0.27980718969860496,0.8940184049079755
